Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
6.0,75.0,2.0,2.0,1.0,1.0,-1.0,80000.0
2.0,100.0,4.0,0.0,-1.0,1.0,-1.0,91800.0
6.0,78.0,3.0,4.0,-1.0,1.0,-1.0,115000.0
3.0,76.0,3.0,3.0,-1.0,-1.0,-1.0,72000.0
20.0,70.0,4.0,1.0,-1.0,-1.0,-1.0,75000.0
3.0,97.0,3.0,3.0,1.0,1.0,1.0,86700.0
11.0,42.0,0.0,0.0,-1.0,-1.0,-1.0,27000.0
34.0,81.0,3.0,2.0,1.0,1.0,-1.0,78550.0
19.0,26.0,0.0,0.0,-1.0,1.0,-1.0,19700.0
34.0,69.0,3.0,0.0,-1.0,1.0,-1.0,70400.0
34.0,56.0,2.0,4.0,1.0,1.0,-1.0,60000.0
33.0,42.0,2.0,7.0,1.0,1.0,1.0,44000.0
8.0,99.0,4.0,2.0,-1.0,1.0,-1.0,90900.0
32.0,64.0,0.0,4.0,-1.0,-1.0,-1.0,42000.0
3.0,45.0,2.0,3.0,-1.0,-1.0,-1.0,41850.0
31.0,59.0,3.0,3.0,-1.0,-1.0,-1.0,70800.0
5.0,56.0,2.0,7.0,1.0,1.0,-1.0,50000.0
5.0,53.0,2.0,4.0,-1.0,-1.0,1.0,56000.0
3.0,80.0,3.0,1.0,-1.0,1.0,-1.0,70000.0
8.0,84.0,3.0,3.0,1.0,1.0,1.0,102000.0
30.0,82.0,3.0,1.0,-1.0,-1.0,-1.0,60000.0
2.0,72.0,2.0,10.0,-1.0,1.0,-1.0,63000.0
2.0,78.0,3.0,11.0,-1.0,1.0,-1.0,85000.0
33.0,66.0,2.0,8.0,-1.0,-1.0,-1.0,63000.0
5.0,30.0,2.0,1.0,1.0,-1.0,-1.0,33700.0
26.0,55.0,3.0,1.0,-1.0,-1.0,-1.0,39300.0
29.0,55.0,0.0,3.0,-1.0,1.0,-1.0,68900.0
29.0,75.0,0.0,1.0,-1.0,1.0,-1.0,83400.0
34.0,86.0,4.0,3.0,-1.0,1.0,-1.0,91300.0
4.0,74.0,0.0,1.0,-1.0,-1.0,-1.0,82300.0
5.0,56.0,2.0,2.0,-1.0,1.0,-1.0,48600.0
2.0,81.0,2.0,5.0,-1.0,1.0,-1.0,59400.0
3.0,75.0,3.0,6.0,1.0,1.0,-1.0,72000.0
8.0,94.0,0.0,1.0,-1.0,-1.0,-1.0,89300.0
34.0,59.0,0.0,3.0,1.0,1.0,-1.0,73000.0
7.0,25.0,1.0,3.0,-1.0,-1.0,-1.0,30000.0
8.0,56.0,2.0,3.0,-1.0,-1.0,-1.0,64400.0
2.0,42.0,2.0,4.0,-1.0,-1.0,-1.0,46200.0
2.0,68.0,4.0,8.0,-1.0,-1.0,-1.0,63000.0
6.0,34.0,1.0,3.0,-1.0,-1.0,-1.0,37400.0
1.0,43.0,2.0,5.0,-1.0,-1.0,-1.0,38000.0
10.0,58.0,3.0,3.0,-1.0,-1.0,-1.0,44000.0
31.0,50.0,2.0,6.0,1.0,1.0,1.0,61000.0
16.0,101.0,4.0,11.0,-1.0,1.0,-1.0,86700.0
21.0,98.0,3.0,2.0,-1.0,-1.0,1.0,105000.0
8.0,51.0,2.0,9.0,1.0,1.0,1.0,56000.0
6.0,100.0,0.0,0.0,-1.0,1.0,-1.0,162000.0
5.0,53.0,2.0,5.0,1.0,-1.0,1.0,70000.0
26.0,57.0,2.0,3.0,-1.0,-1.0,-1.0,38000.0
6.0,38.0,2.0,1.0,1.0,1.0,-1.0,46520.0
5.0,33.0,2.0,4.0,-1.0,-1.0,-1.0,31000.0
2.0,32.0,1.0,5.0,1.0,1.0,-1.0,29000.0
34.0,65.0,2.0,1.0,-1.0,1.0,-1.0,69500.0
2.0,77.0,3.0,3.0,-1.0,-1.0,-1.0,67000.0
8.0,36.0,2.0,0.0,-1.0,1.0,-1.0,47800.0
8.0,21.0,0.0,4.0,-1.0,1.0,1.0,30000.0
2.0,58.0,0.0,4.0,-1.0,-1.0,-1.0,55000.0
1.0,40.0,0.0,7.0,-1.0,-1.0,-1.0,35000.0
7.0,42.0,2.0,8.0,-1.0,1.0,-1.0,46920.0
5.0,58.0,3.0,0.0,-1.0,1.0,-1.0,60000.0
8.0,87.0,3.0,3.0,1.0,1.0,-1.0,88750.0
6.0,185.0,0.0,6.0,1.0,1.0,1.0,127500.0
1.0,85.0,4.0,1.0,-1.0,-1.0,-1.0,59000.0
5.0,100.0,4.0,3.0,-1.0,1.0,-1.0,86700.0
17.0,200.0,4.0,3.0,-1.0,1.0,-1.0,265000.0
5.0,71.0,3.0,1.0,-1.0,-1.0,-1.0,7000.0
18.0,77.0,4.0,6.0,1.0,-1.0,-1.0,52600.0
5.0,30.0,2.0,3.0,-1.0,-1.0,-1.0,31500.0
2.0,81.0,4.0,0.0,-1.0,1.0,1.0,90500.0
17.0,178.0,0.0,1.0,-1.0,-1.0,-1.0,195800.0
22.0,88.0,4.0,4.0,-1.0,-1.0,1.0,56100.0
22.0,83.0,3.0,1.0,-1.0,1.0,1.0,57000.0
32.0,85.0,3.0,1.0,-1.0,1.0,1.0,65000.0
4.0,185.0,4.0,3.0,-1.0,1.0,-1.0,185000.0
2.0,91.0,3.0,3.0,-1.0,-1.0,-1.0,82000.0
8.0,151.0,4.0,5.0,-1.0,1.0,-1.0,183600.0
25.0,83.0,3.0,4.0,-1.0,-1.0,-1.0,53950.0
20.0,67.0,3.0,3.0,-1.0,1.0,-1.0,75000.0
8.0,70.0,3.0,0.0,-1.0,-1.0,-1.0,76500.0
34.0,232.0,0.0,3.0,-1.0,-1.0,1.0,281200.0
10.0,83.0,0.0,10.0,-1.0,-1.0,-1.0,71400.0
8.0,86.0,3.0,3.0,-1.0,1.0,1.0,95000.0
29.0,61.0,3.0,2.0,-1.0,-1.0,1.0,90000.0
33.0,92.0,0.0,3.0,-1.0,-1.0,-1.0,75000.0
8.0,72.0,3.0,0.0,-1.0,1.0,-1.0,80800.0
1.0,79.0,3.0,4.0,-1.0,-1.0,-1.0,57000.0
2.0,100.0,5.0,5.0,-1.0,1.0,-1.0,91000.0
35.0,92.0,4.0,1.0,1.0,-1.0,-1.0,117300.0
34.0,113.0,4.0,2.0,-1.0,-1.0,-1.0,250000.0
30.0,70.0,2.0,5.0,-1.0,1.0,-1.0,40000.0
2.0,109.0,4.0,4.0,-1.0,1.0,-1.0,108000.0
33.0,80.0,3.0,4.0,1.0,1.0,1.0,75100.0
29.0,110.0,4.0,1.0,-1.0,1.0,-1.0,106700.0
20.0,115.0,4.0,4.0,1.0,1.0,-1.0,90000.0
5.0,124.0,4.0,5.0,1.0,-1.0,-1.0,106000.0
29.0,176.0,5.0,2.0,-1.0,1.0,-1.0,224400.0
1.0,100.0,3.0,5.0,-1.0,1.0,-1.0,65000.0
8.0,100.0,5.0,1.0,-1.0,1.0,-1.0,120000.0
10.0,105.0,3.0,1.0,-1.0,1.0,1.0,119500.0
8.0,120.0,4.0,3.0,-1.0,-1.0,-1.0,122400.0
29.0,112.0,4.0,0.0,-1.0,-1.0,1.0,135000.0
8.0,55.0,3.0,5.0,-1.0,1.0,-1.0,72000.0
20.0,64.0,3.0,0.0,-1.0,1.0,-1.0,81600.0
8.0,135.0,4.0,2.0,-1.0,-1.0,-1.0,221000.0
5.0,80.0,4.0,0.0,-1.0,1.0,-1.0,78540.0
14.0,82.0,4.0,0.0,-1.0,1.0,-1.0,66500.0
8.0,96.0,4.0,2.0,-1.0,1.0,-1.0,150000.0
9.0,115.0,4.0,0.0,-1.0,1.0,-1.0,110000.0
2.0,84.0,3.0,1.0,-1.0,-1.0,-1.0,82000.0
2.0,78.0,3.0,1.0,-1.0,-1.0,-1.0,63650.0
16.0,82.0,3.0,4.0,1.0,1.0,1.0,53000.0
30.0,40.0,1.0,4.0,-1.0,-1.0,-1.0,26000.0
7.0,41.0,0.0,1.0,-1.0,-1.0,-1.0,43050.0
8.0,56.0,2.0,4.0,1.0,1.0,1.0,68500.0
5.0,63.0,3.0,1.0,1.0,1.0,1.0,59000.0
6.0,230.0,5.0,9.0,-1.0,-1.0,-1.0,368000.0
6.0,57.0,3.0,1.0,-1.0,-1.0,-1.0,59850.0
4.0,105.0,4.0,5.0,-1.0,-1.0,-1.0,141750.0
5.0,47.0,2.0,8.0,-1.0,-1.0,-1.0,45590.0
33.0,69.0,3.0,7.0,-1.0,1.0,1.0,77800.0
8.0,111.0,4.0,3.0,-1.0,-1.0,-1.0,133200.0
6.0,55.0,2.0,1.0,-1.0,-1.0,-1.0,13750.0
5.0,71.0,4.0,0.0,-1.0,-1.0,-1.0,70000.0
2.0,103.0,3.0,8.0,1.0,1.0,-1.0,86700.0
2.0,90.0,3.0,5.0,-1.0,-1.0,-1.0,100000.0
8.0,105.0,2.0,6.0,-1.0,-1.0,1.0,105000.0
5.0,93.0,3.0,4.0,-1.0,1.0,-1.0,66300.0
5.0,192.0,4.0,4.0,-1.0,1.0,-1.0,120000.0
2.0,77.0,3.0,2.0,1.0,1.0,1.0,77000.0
5.0,86.0,4.0,2.0,-1.0,-1.0,-1.0,73000.0
13.0,70.0,3.0,6.0,-1.0,-1.0,-1.0,85400.0
31.0,114.0,4.0,5.0,-1.0,-1.0,-1.0,200000.0
7.0,126.0,4.0,2.0,-1.0,1.0,1.0,133000.0
34.0,113.0,0.0,5.0,-1.0,1.0,-1.0,146000.0
2.0,97.0,4.0,0.0,-1.0,1.0,1.0,104100.0
8.0,36.0,2.0,1.0,-1.0,1.0,1.0,80000.0
6.0,55.0,2.0,1.0,-1.0,-1.0,-1.0,11000.0
