Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
2,44.0,2,7,1.0,1.0,0.0,46200.0
2,72.0,3,9,1.0,1.0,1.0,59000.0
8,90.0,3,9,1.0,1.0,1.0,106000.0
2,69.0,3,0,1.0,1.0,1.0,72000.0
8,50.0,2,2,1.0,1.0,1.0,62500.0
8,74.0,3,6,1.0,1.0,0.0,85100.0
8,34.0,2,0,1.0,1.0,0.0,39000.0
5,63.0,3,5,1.0,1.0,1.0,59850.0
6,80.0,3,2,0.0,1.0,1.0,95000.0
1,71.0,3,4,1.0,1.0,1.0,70000.0
5,63.0,3,6,1.0,1.0,1.0,63000.0
6,95.0,4,6,1.0,1.0,1.0,101000.0
5,82.0,3,1,1.0,1.0,1.0,76260.0
8,28.0,1,1,0.0,1.0,1.0,2200.0
8,40.0,"1,5",3,0.0,1.0,0.0,54000.0
30,91.0,3,6,1.0,1.0,1.0,73000.0
5,33.0,2,7,1.0,1.0,1.0,43900.0
5,35.0,2,2,0.0,1.0,1.0,38000.0
8,60.0,2,2,1.0,1.0,0.0,70000.0
5,64.0,2,4,1.0,1.0,1.0,67000.0
2,88.0,3,4,1.0,1.0,0.0,95000.0
5,72.0,"3,5",1,1.0,1.0,1.0,56000.0
5,66.0,3,5,0.0,1.0,1.0,47000.0
2,72.0,"3,5",5,1.0,1.0,1.0,78000.0
6,78.0,5,1,0.0,1.0,1.0,93600.0
6,72.0,3,4,0.0,1.0,1.0,62000.0
8,54.0,2,6,1.0,1.0,1.0,81000.0
2,91.0,"3,5",7,1.0,1.0,0.0,84999.0
5,40.0,2,3,1.0,1.0,0.0,44000.0
2,84.0,3,6,1.0,1.0,1.0,74000.0
5,49.0,2,4,1.0,1.0,1.0,53900.0
6,74.0,2,2,0.0,1.0,0.0,74000.0
5,55.0,2,8,1.0,1.0,1.0,47000.0
2,147.0,3,4,0.0,1.0,1.0,85000.0
5,65.0,3,7,1.0,1.0,1.0,50000.0
2,66.0,3,7,1.0,1.0,1.0,66000.0
5,58.0,3,3,1.0,1.0,1.0,59000.0
5,58.0,3,6,1.0,1.0,1.0,52800.0
2,50.0,2,8,1.0,1.0,1.0,62000.0
5,68.0,4,1,0.0,1.0,1.0,65000.0
2,88.0,4,2,1.0,1.0,1.0,89900.0
2,62.0,3,14,1.0,1.0,1.0,72000.0
2,106.0,4,4,1.0,1.0,1.0,90000.0
5,41.0,2,0,1.0,1.0,1.0,39000.0
2,82.0,3,1,0.0,1.0,1.0,74000.0
2,59.0,2,1,1.0,1.0,1.0,65000.0
2,77.0,3,10,1.0,1.0,1.0,83000.0
5,54.0,3,1,0.0,1.0,1.0,50000.0
5,65.0,3,8,1.0,1.0,1.0,45000.0
6,72.0,3,4,0.0,1.0,1.0,64000.0
6,86.0,3,3,0.0,1.0,1.0,83500.0
2,75.0,3,0,0.0,1.0,1.0,75000.0
8,34.0,2,0,1.0,1.0,0.0,38300.0
11,43.0,1,3,1.0,1.0,0.0,58050.0
2,80.0,4,9,1.0,1.0,1.0,89000.0
5,30.0,"2,5",3,1.0,1.0,1.0,30000.0
8,64.0,2,2,1.0,1.0,1.0,80000.0
2,65.0,"2,5",5,0.0,1.0,1.0,57000.0
36,72.0,3,1,1.0,1.0,1.0,63500.0
6,37.0,2,2,1.0,1.0,1.0,35890.0
2,75.0,3,1,1.0,1.0,1.0,82500.0
5,58.0,3,3,0.0,1.0,1.0,50460.0
6,55.0,3,0,0.0,1.0,0.0,64998.0
1,51.0,3,4,0.0,1.0,1.0,36000.0
5,59.0,3,7,1.0,1.0,0.0,58000.0
2,80.0,4,7,1.0,1.0,1.0,119000.0
2,88.0,4,0,1.0,1.0,0.0,94000.0
5,41.0,2,0,0.0,1.0,1.0,39000.0
6,33.0,2,0,0.0,1.0,1.0,43000.0
8,115.0,4,2,1.0,1.0,0.0,115000.0
5,78.0,3,3,0.0,1.0,1.0,65500.0
6,33.0,2,0,1.0,1.0,1.0,42000.0
2,62.0,"2,5",5,1.0,1.0,0.0,71300.0
5,84.0,3,2,0.0,0.0,1.0,62000.0
5,50.0,2,1,1.0,1.0,1.0,48000.0
2,58.0,"2,5",6,1.0,1.0,1.0,57000.0
8,86.0,4,5,1.0,1.0,1.0,107500.0
8,66.0,3,3,1.0,1.0,0.0,90000.0
8,88.0,"3,5",14,1.0,1.0,1.0,76200.0
2,72.0,3,1,1.0,1.0,0.0,68000.0
5,66.0,3,5,1.0,1.0,1.0,75500.0
8,116.0,"4,5",4,1.0,1.0,1.0,133400.0
36,50.0,3,3,0.0,1.0,1.0,30000.0
8,90.0,2,9,1.0,1.0,0.0,106000.0
5,27.0,1,1,1.0,1.0,1.0,29160.0
1,40.0,2,1,0.0,1.0,1.0,36000.0
1,40.0,2,1,0.0,1.0,1.0,35999.0
6,67.0,3,4,1.0,1.0,1.0,62000.0
1,54.0,3,1,0.0,1.0,1.0,52000.0
5,57.0,2,2,0.0,1.0,1.0,47000.0
8,66.0,"2,5",1,0.0,1.0,1.0,71900.0
5,64.0,3,100,1.0,1.0,1.0,67000.0
6,70.0,3,1,0.0,1.0,1.0,70000.0
6,120.0,4,3,1.0,1.0,1.0,150000.0
10,64.0,3,1,1.0,1.0,1.0,59000.0
6,72.0,3,9,1.0,1.0,0.0,61000.0
6,55.0,2,7,1.0,1.0,0.0,63000.0
6,60.0,2,0,0.0,1.0,0.0,57000.0
8,41.0,2,0,1.0,1.0,0.0,41000.0
2,97.0,3,4,0.0,1.0,1.0,83000.0
2,44.0,2,7,1.0,1.0,0.0,46200.0
1,48.0,2,2,1.0,1.0,1.0,46560.0
6,77.0,2,7,1.0,1.0,0.0,88550.0
6,160.0,4,10,1.0,1.0,1.0,127000.0
8,155.0,5,1,1.0,1.0,1.0,160000.0
8,112.0,4,1,1.0,1.0,1.0,134400.0
8,54.0,2,0,1.0,1.0,1.0,67500.0
6,72.0,3,2,0.0,0.0,1.0,66000.0
6,122.0,4,3,0.0,1.0,1.0,91500.0
6,51.0,2,3,1.0,0.0,1.0,53550.0
6,52.0,2,3,0.0,1.0,1.0,46800.0
6,140.0,4,3,0.0,1.0,1.0,140000.0
6,50.0,2,2,1.0,1.0,1.0,55000.0
6,90.0,4,8,1.0,1.0,1.0,86400.0
2,76.0,3,2,1.0,1.0,1.0,65000.0
6,82.0,3,1,1.0,1.0,1.0,70000.0
5,43.0,2,4,0.0,0.0,1.0,40990.0
5,43.0,2,4,0.0,1.0,1.0,40990.0
2,72.0,3,5,1.0,1.0,1.0,78000.0
5,58.0,3,3,1.0,1.0,1.0,58999.0
5,51.0,2,1,1.0,1.0,1.0,50999.0
8,74.0,4,1,1.0,1.0,1.0,86000.0
2,48.0,2,3,1.0,1.0,1.0,62000.0
5,63.0,3,7,1.0,1.0,1.0,59999.0
6,40.0,2,3,1.0,1.0,1.0,52000.0
8,86.0,3,12,1.0,1.0,1.0,82000.0
36,65.0,2,2,0.0,1.0,1.0,40000.0
5,60.0,2,0,1.0,1.0,0.0,49900.0
2,97.0,4,0,1.0,1.0,1.0,105000.0
2,54.0,3,9,1.0,1.0,1.0,69660.0
30,51.0,3,8,1.0,1.0,1.0,34000.0
2,63.0,3,6,1.0,1.0,0.0,66150.0
8,83.0,3,5,1.0,1.0,0.0,105000.0
2,44.0,2,7,1.0,1.0,0.0,46200.0
5,42.0,2,4,0.0,1.0,1.0,41000.0
6,54.0,2,3,1.0,1.0,1.0,67500.0
2,62.0,3,14,1.0,1.0,1.0,74000.0
2,50.0,2,8,1.0,1.0,1.0,62000.0
8,72.0,3,2,1.0,1.0,1.0,87000.0
11,74.0,4,4,0.0,0.0,1.0,55000.0
6,71.0,2,1,0.0,1.0,1.0,67000.0
5,53.0,2,2,1.0,1.0,1.0,63000.0
2,96.0,4,4,1.0,1.0,1.0,96000.0
6,72.0,3,2,0.0,1.0,1.0,63900.0
2,110.0,4,6,1.0,1.0,1.0,92000.0
6,65.0,3,0,0.0,1.0,1.0,71500.0
2,62.0,"2,5",5,1.0,1.0,0.0,71300.0
5,78.0,3,3,0.0,1.0,1.0,75000.0
30,60.0,3,5,0.0,1.0,1.0,45000.0
6,83.0,3,4,0.0,1.0,1.0,74700.0
11,94.0,3,5,1.0,1.0,1.0,82000.0
5,32.0,"1,5",3,0.0,1.0,1.0,38000.0
2,88.0,4,2,1.0,1.0,1.0,88000.0
8,71.0,"2,5",4,1.0,1.0,1.0,79000.0
1,52.0,2,3,0.0,0.0,1.0,44200.0
8,44.0,2,3,0.0,1.0,1.0,51000.0
6,127.0,6,4,1.0,1.0,0.0,118000.0
5,60.0,"2,5",6,1.0,1.0,1.0,49000.0
6,54.0,3,0,0.0,1.0,1.0,52000.0
2,69.0,3,0,1.0,1.0,1.0,72000.0
8,60.0,3,2,1.0,1.0,0.0,84000.0
2,58.0,2,5,1.0,1.0,0.0,62500.0
30,70.0,2,3,1.0,1.0,1.0,62000.0
6,71.0,2,1,0.0,1.0,0.0,67000.0
2,81.0,4,9,1.0,1.0,0.0,81000.0
2,45.0,2,1,1.0,1.0,0.0,48000.0
5,46.0,1,8,1.0,1.0,0.0,48300.0
2,88.0,3,2,1.0,1.0,1.0,88000.0
2,69.0,2,6,1.0,1.0,1.0,62750.0
